experiment,tour,year,n,deltaLogloss,naiveSE,incumbentLL,candidateLL,incumbentAccuracy,candidateAccuracy,accuracyDeltaPP,incumbentBrier,candidateBrier
SIGNAL-02,wta,2016,2812,0.0002449529034447539,0.0005924064967735164,0.6022044565303308,0.601959503626886,0.6703413940256046,0.6699857752489331,-0.035561877667145136,0.20792440883037513,0.20783647103712793
SIGNAL-02,wta,2017,2708,-0.000640835928347124,0.0006593335177051988,0.6085697150575647,0.6092105509859117,0.6650664697193501,0.6610044313146234,-0.4062038404726742,0.21085001973501757,0.21114198950835777
SIGNAL-02,wta,2018,2746,0.0015596165366025703,0.0006115648543260267,0.6072707497557661,0.6057111332191634,0.65877640203933,0.6591405680990532,0.03641660597232255,0.21052860609877758,0.2097863364125042
SIGNAL-02,wta,2019,2525,0.002072824431341255,0.0006055725896635634,0.5992807253955075,0.5972079009641662,0.6744554455445545,0.6768316831683169,0.23762376237623783,0.20654599541326396,0.20554284210941157
SIGNAL-03,wta,2010,2702,0.00043368950389864553,0.0002375009510426617,0.5721081910444517,0.571674501540553,0.7031828275351591,0.7005921539600296,-0.2590673575129543,0.19478342641831686,0.1945841070890883
SIGNAL-03,wta,2011,2702,0.00012042134939811196,0.00026914110407483006,0.580587250224393,0.5804668288749949,0.695040710584752,0.6931902294596595,-0.18504811250925624,0.19837240770143752,0.1983153169501379
SIGNAL-03,wta,2012,2808,0.0005549651255567063,0.00037057067312554394,0.5692361933799149,0.5686812282543583,0.6969373219373219,0.6983618233618234,0.14245014245014564,0.1941261867141024,0.1938703856076829
SIGNAL-03,wta,2013,2633,0.001340097264906583,0.00047504958214332764,0.5693790428865422,0.5680389456216356,0.6889479680972275,0.6954044815799468,0.6456513482719362,0.19470714999198874,0.1941812065333874
SIGNAL-03,wta,2014,2611,-5.596048559624215e-05,0.000522093258553573,0.5939187263987731,0.5939746868843694,0.6836461126005362,0.6817311374952125,-0.19149751053236796,0.20365210825308813,0.2037131599154984
SIGNAL-03,wta,2015,2547,0.00021146142295441593,0.0004007011242240993,0.6049483051705123,0.6047368437475578,0.6584216725559482,0.657243816254417,-0.11778563015312216,0.20948280703091696,0.20947133115369315
SIGNAL-03,wta,2016,2812,0.00019264953001653268,0.000301245049088576,0.6022044565303308,0.6020118070003142,0.6703413940256046,0.668918918918919,-0.14224751066855834,0.20792440883037513,0.20780017313993024
SIGNAL-03,wta,2017,2708,-0.0003529789680662334,0.00037464715428614845,0.6085697150575647,0.6089226940256309,0.6650664697193501,0.6617429837518464,-0.33234859675037587,0.21085001973501757,0.21101876818770118
SIGNAL-03,wta,2018,2746,0.0007944166308298154,0.0004217759153019051,0.6072707497557661,0.6064763331249362,0.65877640203933,0.6605972323379461,0.18208302986161273,0.21052860609877758,0.2101493458729226
SIGNAL-03,wta,2019,2525,0.0007021038776158459,0.0004150796899495784,0.5992807253955075,0.5985786215178917,0.6744554455445545,0.6724752475247525,-0.1980198019801982,0.20654599541326396,0.20628388566967584
SIGNAL-02,wta,2020,1250,-0.00021967139128329887,0.00101779362539687,0.5937387685779835,0.5939584399692669,0.6728,0.6632,-0.9599999999999942,0.20492790947956982,0.20506629993449177
SIGNAL-02,wta,2021,2485,0.00129089714927225,0.0007708834368087789,0.5909677428431677,0.5896768456938954,0.6869215291750503,0.6917505030181087,0.48289738430583595,0.20275265527939462,0.20224753339130716
SIGNAL-02,wta,2022,2478,-0.000302283250374386,0.0008661223786972319,0.6025462433293339,0.6028485265797083,0.6626311541565779,0.6638418079096046,0.1210653753026647,0.20863876516513707,0.2087380081861692
SIGNAL-02,wta,2023,2719,0.0004354769229171063,0.0007002685298001796,0.5932017579486608,0.5927662810257436,0.6807649871276205,0.6778227289444648,-0.29422581831556327,0.2046470707196089,0.20445980413642828
SIGNAL-02,wta,2024,2303,0.00018233457226370157,0.0008721972190619568,0.6026392581462184,0.6024569235739546,0.6600086843247938,0.6574033868866695,-0.260529743812421,0.20872140191350452,0.208626073496846
SIGNAL-02,wta,2025,2402,0.0008599012211907231,0.0007841150670952877,0.6069548189661648,0.606094917744974,0.6723563696919234,0.6731890091590341,0.08326394671107629,0.2099579555011364,0.20964890262649533
SIGNAL-02,wta,2026,1991,0.0012417295327915108,0.0008214091156595838,0.5878858842865323,0.5866441547537409,0.6795580110497238,0.6860873932697137,0.6529382219989888,0.20222798847133366,0.2016755162906829
SIGNAL-02,atp,2010,2907,0.00020462534676072208,0.001070888057578447,0.5604591199966459,0.5602544946498851,0.7093223254213966,0.7082903336773306,-0.10319917440659854,0.1901399137455506,0.1900652704383633
SIGNAL-02,atp,2011,2889,7.2419254816877e-07,0.0008565569116377145,0.54515233464645,0.5451516104539018,0.7303565247490481,0.7296642436829353,-0.06922810661128542,0.1840612421167266,0.18415527921735006
SIGNAL-02,atp,2012,2982,-0.0011844178719348773,0.000998587525580688,0.5352733677150572,0.5364577855869921,0.721998658618377,0.7240107310529845,0.2012072434607548,0.18011584481778187,0.18069932791456975
SIGNAL-02,atp,2013,2766,3.4186603038805605e-05,0.0009635102461970328,0.5536080360647471,0.5535738494617084,0.7075198843094722,0.7082429501084598,0.0723065798987621,0.18790421867075696,0.18787883313990478
SIGNAL-02,atp,2014,2748,-0.0008711434572516722,0.0008848955966984415,0.5554338958598781,0.5563050393171298,0.7077874818049491,0.7110625909752547,0.3275109170305601,0.1881854710793681,0.18859459481075008
SIGNAL-02,atp,2015,2833,0.0011951477382126608,0.0007749947555442261,0.5458954639374923,0.5447003161992796,0.723967525591246,0.7193787504412283,-0.45887751500176543,0.1847043132237854,0.18419317479135666
SIGNAL-02,atp,2016,2854,2.9325545795335425e-05,0.0008108950585869132,0.5559143856511863,0.5558850601053908,0.7151366503153469,0.7116327960756833,-0.3503854239663595,0.1881212058284588,0.18811161769786805
SIGNAL-02,atp,2017,2812,-0.0003697969437251751,0.0007122128396739594,0.5793475324112861,0.5797173293550114,0.689900426742532,0.6902560455192034,0.035561877667134034,0.19784656868966685,0.19808485949988494
SIGNAL-02,atp,2018,2925,0.0008393606132575677,0.0006094466031234128,0.598531624065391,0.5976922634521334,0.6666666666666666,0.6652991452991452,-0.1367521367521385,0.206558082994962,0.2061996362383219
SIGNAL-02,atp,2019,2641,-0.0003798326937856602,0.0005862920991694991,0.5991749966059237,0.5995548292997093,0.6652783036728512,0.6675501703900037,0.22718667171525153,0.20724430282909737,0.20739599927179336
SIGNAL-02,atp,2020,1433,0.0005380213363013375,0.0008520973159661478,0.5838495917975531,0.5833115704612518,0.6852756454989533,0.683182135380321,-0.20935101186322358,0.20132163705625666,0.20109203254777466
SIGNAL-02,atp,2021,2649,-9.715122157599351e-05,0.0007609215516360934,0.5903799203180861,0.5904770715396622,0.6738391845979615,0.6681766704416761,-0.5662514156285492,0.2036826617976133,0.20384595266259992
SIGNAL-02,atp,2022,2828,0.0001195772308022134,0.0006603706863175167,0.5792792108190045,0.5791596335882023,0.6760961810466761,0.6775106082036775,0.14144271570013522,0.19861323828253932,0.19858850127896338
SIGNAL-02,atp,2023,2895,0.00041220449983025856,0.0007357947576925661,0.599252908213913,0.5988407037140827,0.664594127806563,0.6632124352331606,-0.1381692573402371,0.20758154269793969,0.2075056038332458
SIGNAL-02,atp,2024,3037,0.0011148799019332363,0.0005912648389876467,0.5880735382135847,0.5869586583116514,0.6733618702667106,0.6730325979585117,-0.03292723081989024,0.20251565572599564,0.20201050939081078
SIGNAL-02,atp,2025,2809,0.00041414026631977246,0.0006600634643160823,0.6007167752972552,0.6003026350309354,0.6774652901388395,0.6771092915628337,-0.03559985760057671,0.20768384832575304,0.20760379583696462
SIGNAL-02,atp,2026,2187,0.0007174699086026464,0.0006800955573176305,0.600575657338594,0.5998581874299914,0.6652949245541838,0.6712391403749428,0.5944215820758991,0.20761610581825649,0.2072741004433428
