slice,window,n,years,meanProbabilityA,observedWinRateA,calibrationResidualA,meanFavoriteProbability,accuracy,favoriteResidual,favoriteResidualNaiveSE,logloss,brier,lossContribution
"favorite_probability:[0.8,0.9)",2010,530,1,0.519019086272186,0.539622641509434,0.020603555237248026,0.8468382719737004,0.8547169811320755,0.007878709158375088,0.015235093488074268,0.4091141504699366,0.12284724498730427,0.008092502043333075
"favorite_probability:[0.8,0.9)",2011,518,1,0.4880710348077784,0.4555984555984556,-0.03247257920932282,0.8464353395882539,0.8223938223938224,-0.024041517194431452,0.01681773749954958,0.47102066906381823,0.1468043588591521,0.009106094893448453
"favorite_probability:[0.8,0.9)",2012,478,1,0.4918935400779071,0.5083682008368201,0.01647466075891304,0.8454987182919389,0.8535564853556485,0.00805776706370963,0.016142664154354305,0.4138615174424176,0.12436426167218437,0.007383212858754782
"favorite_probability:[0.8,0.9)",2013,452,1,0.5002556680572128,0.5022123893805309,0.0019567213233182045,0.843994815746155,0.8495575221238938,0.005562706377738759,0.016805744787604212,0.4214080419409944,0.12740825279984977,0.0071089212121120205
"favorite_probability:[0.8,0.9)",2014,454,1,0.5284643832728826,0.539647577092511,0.011183193819628488,0.8491779545957361,0.8171806167400881,-0.03199733785564804,0.018179609685978912,0.4814915502447166,0.15073951800539434,0.00815843710573641
"favorite_probability:[0.8,0.9)",2015,330,1,0.5224845946406436,0.5272727272727272,0.004788132632083758,0.8423623505767375,0.8393939393939394,-0.002968411182798036,0.020208904883123775,0.4390422584799079,0.1343723576981725,0.005407327957690887
"favorite_probability:[0.8,0.9)",2016,331,1,0.5259583979110413,0.5558912386706949,0.029932840759653558,0.8386928527468639,0.851963746223565,0.013270893476700978,0.019537794634564277,0.41908582116449644,0.12614550494386478,0.005177181712526995
"favorite_probability:[0.8,0.9)",2017,358,1,0.566128244767303,0.5670391061452514,0.0009108613779484028,0.8454913388648891,0.8324022346368715,-0.013089104228017737,0.01966777209655046,0.44756730698191094,0.138266514198832,0.005980036422315598
"favorite_probability:[0.8,0.9)",2018,344,1,0.5238149336999454,0.5058139534883721,-0.018000980211573255,0.8464877027227332,0.8459302325581395,-0.0005574701645936454,0.019378068092077528,0.42367955749765074,0.12880007715553365,0.005439492714010295
"favorite_probability:[0.8,0.9)",2019,309,1,0.5303174175297803,0.5080906148867314,-0.02222680264304895,0.8425398664445516,0.8317152103559871,-0.010824656088564616,0.021106525927138235,0.44291606624552265,0.13732668768702697,0.005107899696568877
"favorite_probability:[0.9,1.000000001)",tune,1187,10,0.4574758587217708,0.45577085088458297,-0.0017050078371878602,0.92566242116651,0.9376579612468408,0.011995540080330745,0.007011292708591893,0.2327926519234169,0.058445548360245694,0.010312938636750611
"favorite_probability:[0.9,1.000000001)",2010,111,1,0.4440375203022844,0.4594594594594595,0.015421939157175086,0.9173964145176315,0.9369369369369369,0.01954052241930539,0.02303064346855585,0.2328031674139544,0.05872699125975015,0.0009644379929442762
"favorite_probability:[0.9,1.000000001)",2011,184,1,0.37976685156922646,0.3695652173913043,-0.010201634177922117,0.9234946108481037,0.9239130434782609,0.0004184326301571366,0.019572264849763623,0.26717967787601854,0.07010263498278654,0.00183477870900901
"favorite_probability:[0.9,1.000000001)",2012,163,1,0.4163759447147246,0.39263803680981596,-0.02373790790490869,0.9274391377893382,0.9631901840490797,0.03575104625974153,0.01473711735238683,0.16583519986629291,0.03646172302166558,0.0010088503985297358
"favorite_probability:[0.9,1.000000001)",2013,184,1,0.3772123853134163,0.3641304347826087,-0.013081950530807579,0.9329535693798847,0.9728260869565217,0.03987251757663704,0.012025740063891031,0.13997718663861497,0.028054989265321347,0.000961252606609881
"favorite_probability:[0.9,1.000000001)",2014,184,1,0.49569966611089106,0.5271739130434783,0.031474246932587144,0.93183862897822,0.9021739130434783,-0.02966471593474165,0.021985937164883142,0.32766414735563015,0.08933879761381766,0.0022501382068163002
"favorite_probability:[0.9,1.000000001)",2015,112,1,0.4571488887949898,0.4642857142857143,0.007136825490724437,0.9275540773064547,0.9285714285714286,0.0010173512649738381,0.024434269672498003,0.25733909729688453,0.06627175732514383,0.0010756877994047573
"favorite_probability:[0.9,1.000000001)",2016,63,1,0.5731165589449733,0.5555555555555556,-0.01756100338941764,0.9174891142718244,0.9365079365079365,0.019018822236112114,0.03097123535897931,0.23883918776468094,0.05983319561824884,0.0005615760554293835
"favorite_probability:[0.9,1.000000001)",2017,71,1,0.5290913885972416,0.5492957746478874,0.02020438605064572,0.9215826231995534,0.9295774647887324,0.007994841589179048,0.03046064449581883,0.25120583649401795,0.06501347790908212,0.0006656570273596803
"favorite_probability:[0.9,1.000000001)",2018,72,1,0.6524454367988798,0.6111111111111112,-0.0413343256877687,0.9188017212139256,0.9305555555555556,0.011753834341630057,0.03017102726647861,0.2526153907950139,0.06476880555006677,0.0006788201887452787
"favorite_probability:[0.9,1.000000001)",2019,43,1,0.547090781660056,0.5581395348837209,0.011048753223665043,0.9171855471527222,0.9534883720930233,0.03630282494030121,0.03231265822319024,0.19425005193186978,0.045170426119491715,0.0003117396519023065
favorite_probability:missing,tune,0,0,,,,,,,,,,
favorite_probability:missing,2010,0,0,,,,,,,,,,
favorite_probability:missing,2011,0,0,,,,,,,,,,
favorite_probability:missing,2012,0,0,,,,,,,,,,
favorite_probability:missing,2013,0,0,,,,,,,,,,
favorite_probability:missing,2014,0,0,,,,,,,,,,
favorite_probability:missing,2015,0,0,,,,,,,,,,
favorite_probability:missing,2016,0,0,,,,,,,,,,
favorite_probability:missing,2017,0,0,,,,,,,,,,
favorite_probability:missing,2018,0,0,,,,,,,,,,
favorite_probability:missing,2019,0,0,,,,,,,,,,
"player_a_probability:[0,0.1)",tune,652,10,0.0738209742163302,0.06134969325153374,-0.012471280964796463,0.9261790257836697,0.9386503067484663,0.012471280964796463,0.009407045421438706,0.2315070408063326,0.057764152667120996,0.0056334474362069445
