year,event,match,winner,loser,winnerId,loserId,round,score,outcome,status,start,end,timestamp,estimatedStartTime,sourceLastUpdated,historicalPublicationTimeKnown,sourceFile,sourceSHA256,duplicateRecords,observedIndex,observedHasStats,observedDate,observedSource,cachedPositiveDenominators,cachedValidStats
2024,1003,LS025,Leylah Fernandez,Paula Badosa,326735,320124,R32,0-6 6-2 6-3,completed,present,2024-02-11,2024-02-17,2024-02-13T11:51:01.23+00:00,False,2024-02-13T14:04:22.743+00:00,False,data/raw/wta/stats/_httpcache/2024/5e9192cb152581dbfcce0f0cb26970c58f2068d00a1be90db8e1f2e401d631ff.json,f76ee4d0637c5f0d24c506606d3ca9c6a1ccfb1e2c3ee266d49f4e541ba4d94e,1,132674.0,True,2024-02-12,historical,False,False
2024,1003,LS026,Emma Navarro,Elise Mertens,325410,317964,R32,6-1 6-3,completed,present,2024-02-11,2024-02-17,2024-02-13T12:00:17.303+00:00,False,2024-02-13T13:22:19.133+00:00,False,data/raw/wta/stats/_httpcache/2024/5e9192cb152581dbfcce0f0cb26970c58f2068d00a1be90db8e1f2e401d631ff.json,f76ee4d0637c5f0d24c506606d3ca9c6a1ccfb1e2c3ee266d49f4e541ba4d94e,1,132673.0,True,2024-02-12,historical,False,False
2024,1003,LS027,Elena Rybakina,Lin Zhu,324166,317306,R32,6-2 6-1,completed,present,2024-02-11,2024-02-17,2024-02-13T17:44:14.907+00:00,False,2024-02-13T18:58:58.433+00:00,False,data/raw/wta/stats/_httpcache/2024/5e9192cb152581dbfcce0f0cb26970c58f2068d00a1be90db8e1f2e401d631ff.json,f76ee4d0637c5f0d24c506606d3ca9c6a1ccfb1e2c3ee266d49f4e541ba4d94e,1,132672.0,True,2024-02-12,historical,False,False
2024,1003,LS028,Marketa Vondrousova,Greet Minnen,323027,321454,R32,6-2 0-6 6-4,completed,present,2024-02-11,2024-02-17,2024-02-12T18:29:58.427+00:00,False,2024-02-12T20:22:19.23+00:00,False,data/raw/wta/stats/_httpcache/2024/5e9192cb152581dbfcce0f0cb26970c58f2068d00a1be90db8e1f2e401d631ff.json,f76ee4d0637c5f0d24c506606d3ca9c6a1ccfb1e2c3ee266d49f4e541ba4d94e,1,132671.0,True,2024-02-12,historical,False,False
2024,1003,LS030,Danielle Collins,Marie Bouzkova,316925,320983,R32,6-4 7-5,completed,present,2024-02-11,2024-02-17,2024-02-13T13:25:13.677+00:00,False,2024-02-13T15:32:58.03+00:00,False,data/raw/wta/stats/_httpcache/2024/5e9192cb152581dbfcce0f0cb26970c58f2068d00a1be90db8e1f2e401d631ff.json,f76ee4d0637c5f0d24c506606d3ca9c6a1ccfb1e2c3ee266d49f4e541ba4d94e,1,132669.0,True,2024-02-12,historical,False,False
2024,1003,LS031,Katerina Siniakova,Coco Gauff,320301,328560,R32,6-2 6-4,completed,present,2024-02-11,2024-02-17,2024-02-13T14:25:03.987+00:00,False,2024-02-13T16:01:10.333+00:00,False,data/raw/wta/stats/_httpcache/2024/5e9192cb152581dbfcce0f0cb26970c58f2068d00a1be90db8e1f2e401d631ff.json,f76ee4d0637c5f0d24c506606d3ca9c6a1ccfb1e2c3ee266d49f4e541ba4d94e,1,132668.0,True,2024-02-12,historical,False,False
2024,1003,LS033,Sorana Cirstea,Sloane Stephens,312469,315683,R64,6-3 6-2,completed,present,2024-02-11,2024-02-17,2024-02-11T14:01:55.317+00:00,False,2024-02-11T17:13:06.443+00:00,False,data/raw/wta/stats/_httpcache/2024/5e9192cb152581dbfcce0f0cb26970c58f2068d00a1be90db8e1f2e401d631ff.json,f76ee4d0637c5f0d24c506606d3ca9c6a1ccfb1e2c3ee266d49f4e541ba4d94e,1,132667.0,True,2024-02-12,historical,False,False
2024,1003,LS034,Erika Andreeva,Diana Shnaider,330151,330482,R64,7-6(2) 6-4,completed,present,2024-02-11,2024-02-17,2024-02-11T14:00:44.6+00:00,False,2024-02-11T17:58:28.08+00:00,False,data/raw/wta/stats/_httpcache/2024/5e9192cb152581dbfcce0f0cb26970c58f2068d00a1be90db8e1f2e401d631ff.json,f76ee4d0637c5f0d24c506606d3ca9c6a1ccfb1e2c3ee266d49f4e541ba4d94e,1,132666.0,True,2024-02-12,historical,False,False
2024,1003,LS035,Ekaterina Alexandrova,Viktoriya Tomova,319007,317584,R64,7-6(5) 6-3,completed,present,2024-02-11,2024-02-17,2024-02-11T11:49:56.147+00:00,False,2024-02-11T13:37:50.237+00:00,False,data/raw/wta/stats/_httpcache/2024/5e9192cb152581dbfcce0f0cb26970c58f2068d00a1be90db8e1f2e401d631ff.json,f76ee4d0637c5f0d24c506606d3ca9c6a1ccfb1e2c3ee266d49f4e541ba4d94e,1,132665.0,True,2024-02-12,historical,False,False
2024,1003,LS036,Xinyu Wang,Beatriz Haddad Maia,326376,318176,R64,6-1 6-3,completed,present,2024-02-11,2024-02-17,2024-02-12T15:42:58.587+00:00,False,2024-02-12T17:04:37.457+00:00,False,data/raw/wta/stats/_httpcache/2024/5e9192cb152581dbfcce0f0cb26970c58f2068d00a1be90db8e1f2e401d631ff.json,f76ee4d0637c5f0d24c506606d3ca9c6a1ccfb1e2c3ee266d49f4e541ba4d94e,1,132699.0,True,2024-02-12,stats,False,False
2024,1003,LS037,Victoria Azarenka,Magdalena Frech,312001,320277,R64,6-3 3-6 6-3,completed,present,2024-02-11,2024-02-17,2024-02-12T12:16:58.297+00:00,False,2024-02-12T15:15:33.72+00:00,False,data/raw/wta/stats/_httpcache/2024/5e9192cb152581dbfcce0f0cb26970c58f2068d00a1be90db8e1f2e401d631ff.json,f76ee4d0637c5f0d24c506606d3ca9c6a1ccfb1e2c3ee266d49f4e541ba4d94e,1,132663.0,True,2024-02-12,historical,False,False
2024,1003,LS038,Anhelina Kalinina,Emma Raducanu,320567,328366,R64,6-0 7-6(6),completed,present,2024-02-11,2024-02-17,2024-02-12T10:47:45.177+00:00,False,2024-02-12T12:47:56.967+00:00,False,data/raw/wta/stats/_httpcache/2024/5e9192cb152581dbfcce0f0cb26970c58f2068d00a1be90db8e1f2e401d631ff.json,f76ee4d0637c5f0d24c506606d3ca9c6a1ccfb1e2c3ee266d49f4e541ba4d94e,1,132662.0,True,2024-02-12,historical,False,False
2024,1003,LS041,Lesia Tsurenko,Zeynep Sonmez,315295,326907,R64,7-5 5-3,incomplete-or-invalid-score,ambiguous,2024-02-11,2024-02-17,2024-02-11T10:54:40.453+00:00,False,2025-01-28T20:21:05.257+00:00,False,data/raw/wta/stats/_httpcache/2024/5e9192cb152581dbfcce0f0cb26970c58f2068d00a1be90db8e1f2e401d631ff.json,f76ee4d0637c5f0d24c506606d3ca9c6a1ccfb1e2c3ee266d49f4e541ba4d94e,1,,,,,False,False
2024,1003,LS042,Petra Martic,Arantxa Rus,313711,313349,R64,7-5 3-6 7-6(5),completed,present,2024-02-11,2024-02-17,2024-02-12T12:31:47.013+00:00,False,2024-02-12T15:40:29.14+00:00,False,data/raw/wta/stats/_httpcache/2024/5e9192cb152581dbfcce0f0cb26970c58f2068d00a1be90db8e1f2e401d631ff.json,f76ee4d0637c5f0d24c506606d3ca9c6a1ccfb1e2c3ee266d49f4e541ba4d94e,1,132660.0,True,2024-02-12,historical,False,False
2024,1003,LS043,Naomi Osaka,Caroline Garcia,319998,315391,R64,7-5 6-4,completed,present,2024-02-11,2024-02-17,2024-02-12T15:18:42.437+00:00,False,2024-02-12T17:04:46.003+00:00,False,data/raw/wta/stats/_httpcache/2024/5e9192cb152581dbfcce0f0cb26970c58f2068d00a1be90db8e1f2e401d631ff.json,f76ee4d0637c5f0d24c506606d3ca9c6a1ccfb1e2c3ee266d49f4e541ba4d94e,1,132659.0,True,2024-02-12,historical,False,False
2024,1003,LS044,Anastasia Potapova,Martina Trevisan,325601,316266,R64,6-4 6-4,completed,present,2024-02-11,2024-02-17,2024-02-12T12:38:51.89+00:00,False,2024-02-12T14:32:29.797+00:00,False,data/raw/wta/stats/_httpcache/2024/5e9192cb152581dbfcce0f0cb26970c58f2068d00a1be90db8e1f2e401d631ff.json,f76ee4d0637c5f0d24c506606d3ca9c6a1ccfb1e2c3ee266d49f4e541ba4d94e,1,132658.0,True,2024-02-12,historical,False,False
2024,1003,LS045,Karolina Pliskova,Anna Kalinskaya,313974,323942,R64,2-6 7-6(3) 6-4,completed,present,2024-02-11,2024-02-17,2024-02-12T16:35:01.443+00:00,False,2024-02-12T19:04:55.19+00:00,False,data/raw/wta/stats/_httpcache/2024/5e9192cb152581dbfcce0f0cb26970c58f2068d00a1be90db8e1f2e401d631ff.json,f76ee4d0637c5f0d24c506606d3ca9c6a1ccfb1e2c3ee266d49f4e541ba4d94e,1,132657.0,True,2024-02-12,historical,False,False
2024,1003,LS046,Linda Noskova,Bernarda Pera,329668,317708,R64,6-3 7-6(8),completed,present,2024-02-11,2024-02-17,2024-02-12T15:01:53.29+00:00,False,2024-02-12T16:32:43.37+00:00,False,data/raw/wta/stats/_httpcache/2024/5e9192cb152581dbfcce0f0cb26970c58f2068d00a1be90db8e1f2e401d631ff.json,f76ee4d0637c5f0d24c506606d3ca9c6a1ccfb1e2c3ee266d49f4e541ba4d94e,1,132656.0,True,2024-02-12,historical,False,False
2024,1003,LS049,Magda Linette,Nao Hibino,315130,320238,R64,6-1 6-4,completed,present,2024-02-11,2024-02-17,2024-02-12T12:51:38.64+00:00,False,2024-02-12T14:57:44.147+00:00,False,data/raw/wta/stats/_httpcache/2024/5e9192cb152581dbfcce0f0cb26970c58f2068d00a1be90db8e1f2e401d631ff.json,f76ee4d0637c5f0d24c506606d3ca9c6a1ccfb1e2c3ee266d49f4e541ba4d94e,1,132655.0,True,2024-02-12,historical,False,False
2024,1003,LS050,Paula Badosa,Ashlyn Krueger,320124,329409,R64,6-3 4-6 6-4,completed,present,2024-02-11,2024-02-17,2024-02-11T17:16:01.987+00:00,False,2024-02-12T11:50:40.557+00:00,False,data/raw/wta/stats/_httpcache/2024/5e9192cb152581dbfcce0f0cb26970c58f2068d00a1be90db8e1f2e401d631ff.json,f76ee4d0637c5f0d24c506606d3ca9c6a1ccfb1e2c3ee266d49f4e541ba4d94e,1,132654.0,True,2024-02-12,historical,False,False
2024,1003,LS051,Leylah Fernandez,Liudmila Samsonova,326735,322222,R64,7-5 7-6(4),completed,present,2024-02-11,2024-02-17,2024-02-12T11:49:05.217+00:00,False,2024-02-12T14:19:35.957+00:00,False,data/raw/wta/stats/_httpcache/2024/5e9192cb152581dbfcce0f0cb26970c58f2068d00a1be90db8e1f2e401d631ff.json,f76ee4d0637c5f0d24c506606d3ca9c6a1ccfb1e2c3ee266d49f4e541ba4d94e,1,132653.0,True,2024-02-12,historical,False,False
2024,1003,LS052,Emma Navarro,Jasmine Paolini,325410,319280,R64,6-3 7-5,completed,present,2024-02-11,2024-02-17,2024-02-11T19:28:55.113+00:00,False,2024-02-12T12:34:54.52+00:00,False,data/raw/wta/stats/_httpcache/2024/5e9192cb152581dbfcce0f0cb26970c58f2068d00a1be90db8e1f2e401d631ff.json,f76ee4d0637c5f0d24c506606d3ca9c6a1ccfb1e2c3ee266d49f4e541ba4d94e,1,132652.0,True,2024-02-12,historical,False,False
2024,1003,LS053,Elise Mertens,Peyton Stearns,317964,327573,R64,6-2 6-3,completed,present,2024-02-11,2024-02-17,2024-02-12T10:48:03.627+00:00,False,2024-02-12T12:28:38.623+00:00,False,data/raw/wta/stats/_httpcache/2024/5e9192cb152581dbfcce0f0cb26970c58f2068d00a1be90db8e1f2e401d631ff.json,f76ee4d0637c5f0d24c506606d3ca9c6a1ccfb1e2c3ee266d49f4e541ba4d94e,1,132651.0,True,2024-02-12,historical,False,False
2024,1003,LS054,Lin Zhu,Varvara Gracheva,317306,325836,R64,6-1 6-1,completed,present,2024-02-11,2024-02-17,2024-02-11T17:02:13.47+00:00,False,2024-02-11T18:08:23.26+00:00,False,data/raw/wta/stats/_httpcache/2024/5e9192cb152581dbfcce0f0cb26970c58f2068d00a1be90db8e1f2e401d631ff.json,f76ee4d0637c5f0d24c506606d3ca9c6a1ccfb1e2c3ee266d49f4e541ba4d94e,1,132650.0,True,2024-02-12,historical,False,False
2024,1003,LS057,Greet Minnen,Tatjana Maria,321454,310440,R64,6-1 6-1,completed,present,2024-02-11,2024-02-17,2024-02-11T12:53:11.89+00:00,False,2024-02-11T13:57:33.997+00:00,False,data/raw/wta/stats/_httpcache/2024/5e9192cb152581dbfcce0f0cb26970c58f2068d00a1be90db8e1f2e401d631ff.json,f76ee4d0637c5f0d24c506606d3ca9c6a1ccfb1e2c3ee266d49f4e541ba4d94e,1,132649.0,True,2024-02-12,historical,False,False
2024,1003,LS058,Marta Kostyuk,Caroline Dolehide,326482,322052,R64,6-3 7-5,completed,present,2024-02-11,2024-02-17,2024-02-11T10:49:56.907+00:00,False,2024-02-11T12:39:56.85+00:00,False,data/raw/wta/stats/_httpcache/2024/5e9192cb152581dbfcce0f0cb26970c58f2068d00a1be90db8e1f2e401d631ff.json,f76ee4d0637c5f0d24c506606d3ca9c6a1ccfb1e2c3ee266d49f4e541ba4d94e,1,132648.0,True,2024-02-12,historical,False,False
2024,1003,LS059,Anastasia Pavlyuchenkova,Daria Kasatkina,313796,322082,R64,6-2 7-6(2),completed,present,2024-02-11,2024-02-17,2024-02-12T14:26:59.57+00:00,False,2024-02-12T16:14:53.74+00:00,False,data/raw/wta/stats/_httpcache/2024/5e9192cb152581dbfcce0f0cb26970c58f2068d00a1be90db8e1f2e401d631ff.json,f76ee4d0637c5f0d24c506606d3ca9c6a1ccfb1e2c3ee266d49f4e541ba4d94e,1,132647.0,True,2024-02-12,historical,False,False
2024,1003,LS060,Danielle Collins,Veronika Kudermetova,316925,319526,R64,7-5 6-3,completed,present,2024-02-11,2024-02-17,2024-02-11T12:43:08.733+00:00,False,2024-02-11T16:56:58.53+00:00,False,data/raw/wta/stats/_httpcache/2024/5e9192cb152581dbfcce0f0cb26970c58f2068d00a1be90db8e1f2e401d631ff.json,f76ee4d0637c5f0d24c506606d3ca9c6a1ccfb1e2c3ee266d49f4e541ba4d94e,1,132646.0,True,2024-02-12,historical,False,False
2024,1003,LS061,Marie Bouzkova,Sofia Kenin,320983,320942,R64,7-5 2-6 7-5,completed,present,2024-02-11,2024-02-17,2024-02-12T14:34:54.16+00:00,False,2024-02-12T17:41:49.353+00:00,False,data/raw/wta/stats/_httpcache/2024/5e9192cb152581dbfcce0f0cb26970c58f2068d00a1be90db8e1f2e401d631ff.json,f76ee4d0637c5f0d24c506606d3ca9c6a1ccfb1e2c3ee266d49f4e541ba4d94e,1,132645.0,True,2024-02-12,historical,False,False
2024,1003,LS062,Katerina Siniakova,Donna Vekic,320301,318516,R64,7-5 6-1,completed,present,2024-02-11,2024-02-17,2024-02-11T12:19:00.297+00:00,False,2024-02-11T13:58:19.47+00:00,False,data/raw/wta/stats/_httpcache/2024/5e9192cb152581dbfcce0f0cb26970c58f2068d00a1be90db8e1f2e401d631ff.json,f76ee4d0637c5f0d24c506606d3ca9c6a1ccfb1e2c3ee266d49f4e541ba4d94e,1,132644.0,True,2024-02-12,historical,False,False
2024,1005,LS001,Peyton Stearns,Mayar Sherif,327573,318711,F,6-2 6-1,completed,present,2024-05-19,2024-05-25,2024-05-25T10:42:18.16+00:00,False,2024-05-25T12:20:20.047+00:00,False,data/raw/wta/stats/_httpcache/2024/09b37471b2701300962af72de92359bb0909b1a7272e324ca0cc72c4c1c4c17d.json,ef534943b075bbaef4df8ee67b1788cb64f61d0d9837b17f507fc5d1509e166d,0,134046.0,True,2024-05-20,historical,False,False
2024,1005,LS002,Mayar Sherif,Kamilla Rakhimova,318711,325936,SF,6-0 6-1,completed,present,2024-05-19,2024-05-25,2024-05-24T14:27:11.047+00:00,False,2024-05-24T15:42:27.633+00:00,False,data/raw/wta/stats/_httpcache/2024/09b37471b2701300962af72de92359bb0909b1a7272e324ca0cc72c4c1c4c17d.json,ef534943b075bbaef4df8ee67b1788cb64f61d0d9837b17f507fc5d1509e166d,0,134045.0,True,2024-05-20,historical,False,False
