signal,year,band,n,meanFeature,predicted,observed,residual,moment,momentSE
recent_surprise_diff,2015,all,2547,0.004077381238919116,0.5029261553010687,0.5072634471927758,0.00433729189170719,-0.0016261555998107837,0.0011604590474886373
recent_surprise_diff,2015,zero,72,0.0,0.5059860297501505,0.4027777777777778,-0.10320825197237275,0.0,0.0
recent_surprise_diff,2015,"[-1000000000.0,-0.1)",495,-0.1738814973791288,0.505533030148275,0.5272727272727272,0.021739697124452357,-0.00501258880075592,0.00391913556707988
recent_surprise_diff,2015,"[-0.1,0)",712,-0.047743621200626106,0.5042153181407357,0.5070224719101124,0.002807153769376639,-0.00023464843549152306,0.0009412868270361631
recent_surprise_diff,2015,"[0,0.1)",723,0.047693385296980036,0.498126479480274,0.5214384508990318,0.023311971418757797,0.0017066546164637864,0.0009183533100936723
recent_surprise_diff,2015,"[0.1,1000000000.0)",545,0.17608728796940362,0.5048372886348128,0.48440366972477067,-0.02043361891004204,-0.005004455886196768,0.003703505433871092
recent_surprise_diff,2016,all,2812,-0.004201324066927651,0.5134959055448908,0.5106685633001422,-0.002827342244748564,0.001545013593576851,0.0011207764964958136
recent_surprise_diff,2016,zero,54,0.0,0.5206418347966493,0.5925925925925926,0.0719507577959433,0.0,0.0
recent_surprise_diff,2016,"[-1000000000.0,-0.1)",655,-0.17374096588563484,0.5008226763182264,0.4778625954198473,-0.022960080898379143,0.003910530505036751,0.0032387505564064854
recent_surprise_diff,2016,"[-0.1,0)",763,-0.048089876792461975,0.5063194631397111,0.508519003931848,0.0021995407921368364,0.000638141464409071,0.000896594904728596
recent_surprise_diff,2016,"[0,0.1)",758,0.046368826448412157,0.5263490182010692,0.5171503957783641,-0.009198622422705154,-0.00010669641843934522,0.0009200675009159257
recent_surprise_diff,2016,"[0.1,1000000000.0)",582,0.17788868543581157,0.5197640346267448,0.5343642611683849,0.014600226541640096,0.0023662451755531535,0.003638195149998132
