slice,window,n,years,meanProbabilityA,observedWinRateA,calibrationResidualA,meanFavoriteProbability,accuracy,favoriteResidual,favoriteResidualNaiveSE,logloss,brier,lossContribution
first-recorded-no-serve,tune,696,10,0.5102595381650398,0.5158045977011494,0.00554505953610963,0.7134551455161686,0.7758620689655172,0.06240692344934865,0.01538769047032496,0.514182858609153,0.16845743161173096,0.013356395819660019
first-recorded-no-serve,2010,71,1,0.5068824099068393,0.5070422535211268,0.000159843614287555,0.7101926290083612,0.7183098591549296,0.00811723014656852,0.049954236356005904,0.5208150369980896,0.17474569051907154,0.001380080153275523
first-recorded-no-serve,2011,90,1,0.48519790043210653,0.4888888888888889,0.0036909884567823677,0.7072665080979585,0.7777777777777778,0.0705112696798191,0.043216189196563004,0.5190781948958856,0.17119171092376867,0.0017435633925740727
first-recorded-no-serve,2012,92,1,0.4805644137424196,0.43478260869565216,-0.045781805046767494,0.7106997082056319,0.8152173913043478,0.10451768309871584,0.038190375373635205,0.46121886849231,0.14364788025762734,0.0015836432000183817
first-recorded-no-serve,2013,71,1,0.5018936447251582,0.4647887323943662,-0.037104912330791905,0.732644965441273,0.7183098591549296,-0.01433510628634346,0.052208377836142496,0.5582203744376838,0.19100552541193988,0.0014791985737506739
first-recorded-no-serve,2014,96,1,0.5443602084361943,0.6145833333333334,0.07022312489713911,0.7226958632192589,0.78125,0.058554136780741194,0.043462756121896665,0.5587577195858509,0.182884648056727,0.0020019683914399376
first-recorded-no-serve,2015,48,1,0.5589141094393381,0.4791666666666667,-0.07974744277267146,0.7093693449612054,0.7083333333333334,-0.0010360116278721003,0.06454693263172469,0.5768989541738346,0.19581747939182015,0.001033483235065465
first-recorded-no-serve,2016,87,1,0.5086878921869078,0.5287356321839081,0.02004773999700043,0.7197290178343627,0.8160919540229885,0.0963629361886258,0.03955168906218316,0.4572906850944622,0.14381872073065244,0.0014848208406067855
first-recorded-no-serve,2017,53,1,0.5099060150222173,0.5660377358490566,0.05613172082683931,0.7145070673170238,0.8679245283018868,0.1534174609848629,0.045975920697994194,0.4296353719072549,0.133453752104511,0.0008498423046609133
first-recorded-no-serve,2018,51,1,0.5264637979371946,0.5294117647058824,0.0029479667686878345,0.6779199572366291,0.7647058823529411,0.08678592511631199,0.05856424440115258,0.5332768480986729,0.17902033291219072,0.001015045131485867
first-recorded-no-serve,2019,37,1,0.4978601407190654,0.5675675675675675,0.0697074268485022,0.7188433736202237,0.7567567567567568,0.03791338313653305,0.07213243068331664,0.5682866889239915,0.18874857664706282,0.0007847505967824022
both-recorded,tune,26098,10,0.5034058566906737,0.5053260786267146,0.0019202219360409884,0.6794396984284778,0.6770250593915242,-0.002414639036953552,0.002795699240058732,0.5926884137533976,0.20397826636553193,0.5772927603992003
both-recorded,2010,2631,1,0.5044216025455245,0.5153933865450399,0.01097178399951549,0.6944991483629525,0.7027746104142911,0.008275462051338644,0.008616362544995163,0.5734923848632626,0.19532416349503534,0.05631329643111308
both-recorded,2011,2612,1,0.48990434017956175,0.48009188361408883,-0.009812456565472898,0.6997299745427056,0.6921898928024502,-0.007540081740255277,0.008735706224328175,0.5827066280879327,0.19930895544645671,0.05680487096236771
both-recorded,2012,2716,1,0.49031476125171447,0.4893225331369661,-0.0009922281147483074,0.689064560272843,0.6929307805596465,0.003866220286803501,0.008492681456674043,0.5728951012921608,0.19583605571041898,0.05807207192317342
both-recorded,2013,2562,1,0.4921066451318502,0.48985167837626853,-0.0022549667555817007,0.695645882761248,0.6881342701014832,-0.007511612659764668,0.008720424614351163,0.5696882799903162,0.1948097320939339,0.0544726943843842
both-recorded,2014,2515,1,0.5023097672638757,0.5133200795228628,0.01101031225898709,0.6943983724425035,0.679920477137177,-0.014477895305326553,0.009013276095701387,0.5952608562810954,0.20444482243950984,0.0558737423881076
both-recorded,2015,2499,1,0.5018507564220622,0.5078031212484994,0.005952364826437154,0.6680671414281542,0.6574629851940776,-0.010604156234076527,0.009160800810558983,0.6054870682148661,0.20974528631330056,0.05647205282783274
both-recorded,2016,2725,1,0.513649409090632,0.5100917431192661,-0.003557665971365877,0.6616428595713462,0.6656880733944954,0.00404521382314921,0.008779287509057253,0.6068310613431457,0.20997108584493504,0.06171585586922714
both-recorded,2017,2655,1,0.5163743955442854,0.5167608286252354,0.0003864330809499811,0.6661679101243584,0.6610169491525424,-0.005150960971816022,0.008945293365185817,0.6121416623972884,0.2123950299739693,0.060656718431917625
both-recorded,2018,2695,1,0.5107692544939105,0.5213358070500927,0.01056655255618224,0.662912195931776,0.6567717996289425,-0.0061403963028335415,0.008851810641293005,0.608671005408646,0.21112486655611187,0.061221480912752896
both-recorded,2019,2488,1,0.5120677865389613,0.5092443729903537,-0.0028234135486076856,0.6628772285098474,0.6732315112540193,0.01035428274417188,0.009116664585641105,0.5997416495713299,0.20681066763768094,0.05568997626832384
