event_ticker,tour,season,occurrence_utc,match_date,event,round,surface,tier,best_of,player_a,player_b,rank_a,rank_b,rank_src,ticker_a,ticker_b,mid_a,mid_b,p_kalshi,p_kalshi_t30,spread_max,price_ts,price_kind,volume_total,oi_total,liquidity,p_model,pred_source,model_version,model_as_of,match_status,result_type,winner,a_won,result_date,kalshi_result_a
KXATPMATCH-26JUN20SAMHAL,atp,2026,2026-06-20T13:00:00Z,2026-06-20,Eastbourne,Q1,Grass,challenger,3,Quentin Halys,Toby Samuel,101,144,results,KXATPMATCH-26JUN20SAMHAL-HAL,KXATPMATCH-26JUN20SAMHAL-SAM,0.5000,0.5000,0.5000,0.5000,1.0000,2026-06-22T04:00:00Z,candle,506649.42,353214.99,0.00,,,,,matched,completed,Toby Samuel,0,2026-06-22,no
KXATPMATCH-26JUN20KUKDZU,atp,2026,2026-06-20T13:10:00Z,2026-06-20,Mallorca,Q1,Grass,challenger,3,Damir Dzumhur,Mikhail Kukushkin,104,304,results,KXATPMATCH-26JUN20KUKDZU-DZU,KXATPMATCH-26JUN20KUKDZU-KUK,0.5000,0.5000,0.5000,0.5000,1.0000,2026-06-22T04:00:00Z,candle,196490.81,98861.11,0.00,,,,,matched,completed,Damir Dzumhur,1,2026-06-22,yes
KXATPMATCH-26JUN20SHESHE2,atp,2026,2026-06-20T13:10:00Z,2026-06-20,ATP Mallorca,R16,,,,Abdullah Shelbayh,Alexander Shevchenko,264,100,live,KXATPMATCH-26JUN20SHESHE2-SHE2,KXATPMATCH-26JUN20SHESHE2-SHE,0.5000,0.5000,0.5000,0.5000,1.0000,2026-06-20T11:52:00Z,candle,120558.27,85110.33,0.00,,,,,unmatched,pending,,,,yes
KXATPMATCH-26JUN20WALBON,atp,2026,2026-06-20T13:10:00Z,2026-06-20,Mallorca,Q1,Grass,challenger,3,Adam Walton,Federico Bondioli,92,359,results,KXATPMATCH-26JUN20WALBON-WAL,KXATPMATCH-26JUN20WALBON-BON,0.5000,0.5000,0.5000,0.5000,1.0000,2026-06-22T04:00:00Z,candle,237351.91,179642.69,0.00,,,,,matched,completed,Adam Walton,1,2026-06-22,yes
KXATPMATCH-26JUN20NAVSTE,atp,2026,2026-06-20T14:10:00Z,2026-06-20,Eastbourne,Q1,Grass,challenger,3,Emilio Nava,Hamish Stewart,87,305,results,KXATPMATCH-26JUN20NAVSTE-NAV,KXATPMATCH-26JUN20NAVSTE-STE,0.5000,0.5000,0.5000,0.5000,1.0000,2026-06-22T04:00:00Z,candle,1198483.11,559435.77,0.00,,,,,matched,completed,Hamish Stewart,0,2026-06-22,no
KXATPMATCH-26JUN20WENVUK,atp,2026,2026-06-20T14:10:00Z,2026-06-20,Eastbourne,Q1,Grass,challenger,3,Aleksandar Vukic,Harry Wendelken,103,224,results,KXATPMATCH-26JUN20WENVUK-VUK,KXATPMATCH-26JUN20WENVUK-WEN,0.5000,0.5000,0.5000,0.5000,1.0000,2026-06-22T04:00:00Z,candle,439382.48,277412.60,0.00,,,,,matched,completed,Aleksandar Vukic,1,2026-06-22,yes
KXATPMATCH-26JUN20NAKCER,atp,2026,2026-06-20T15:00:00Z,2026-06-20,Queen's Club,SF,Grass,atp500,3,Brandon Nakashima,Francisco Cerundolo,32,27,results,KXATPMATCH-26JUN20NAKCER-NAK,KXATPMATCH-26JUN20NAKCER-CER,0.6050,0.3950,0.6050,0.6020,0.0100,2026-06-20T07:54:00Z,candle,4310455.44,2118954.16,0.00,0.5947,backtest,0.1.0,2026-07-07,matched,completed,Francisco Cerundolo,0,2026-06-20,no
KXATPMATCH-26JUN20DUCHUS,atp,2026,2026-06-20T15:20:00Z,2026-06-20,Eastbourne,Q1,Grass,challenger,3,Giles Hussey,James Duckworth,293,78,results,KXATPMATCH-26JUN20DUCHUS-HUS,KXATPMATCH-26JUN20DUCHUS-DUC,0.5000,0.5000,0.5000,0.5000,1.0000,2026-06-22T04:00:00Z,candle,1019951.18,603473.89,0.00,,,,,matched,completed,Giles Hussey,1,2026-06-22,yes
KXATPMATCH-26JUN20GILTRU,atp,2026,2026-06-20T15:20:00Z,2026-06-20,Eastbourne,Q1,Grass,challenger,3,Felix Gill,Marco Trungelliti,220,94,results,KXATPMATCH-26JUN20GILTRU-GIL,KXATPMATCH-26JUN20GILTRU-TRU,0.5000,0.5000,0.5000,0.5000,1.0000,2026-06-22T04:00:00Z,candle,612034.75,345187.68,0.00,,,,,matched,completed,Marco Trungelliti,0,2026-06-22,no
KXATPMATCH-26JUN20MACPOL,atp,2026,2026-06-20T16:00:00Z,2026-06-20,Mallorca,Q1,Grass,challenger,3,Jamie Mackenzie,Marc Polmans,912,366,results,KXATPMATCH-26JUN20MACPOL-MAC,KXATPMATCH-26JUN20MACPOL-POL,0.5000,0.5000,0.5000,0.5000,1.0000,2026-06-22T04:00:00Z,candle,358795.25,223353.01,0.00,,,,,matched,completed,Marc Polmans,0,2026-06-22,no
KXATPMATCH-26JUN20MACRIN,atp,2026,2026-06-20T16:00:00Z,2026-06-20,ATP Mallorca Qualification Round 1,,,,,Daniel Rincon,Jamie Mackenzie,223,926,live,KXATPMATCH-26JUN20MACRIN-RIN,KXATPMATCH-26JUN20MACRIN-MAC,0.5000,0.5000,0.5000,0.5350,1.0000,2026-06-20T15:40:00Z,candle,391.00,387.00,0.00,,,,,cancelled,cancelled,,,,scalar
KXATPMATCH-26JUN20SVAHUE,atp,2026,2026-06-20T16:00:00Z,2026-06-20,Mallorca,Q1,Grass,challenger,3,Marc-Andrea Huesler,Zachary Svajda,311,69,results,KXATPMATCH-26JUN20SVAHUE-HUE,KXATPMATCH-26JUN20SVAHUE-SVA,0.5000,0.5000,0.5000,0.5000,1.0000,2026-06-22T04:00:00Z,candle,262550.54,101742.11,0.00,,,,,matched,completed,Zachary Svajda,0,2026-06-22,no
KXATPMATCH-26JUN20PAUHUM,atp,2026,2026-06-20T16:10:00Z,2026-06-20,Queen's Club,SF,Grass,atp500,3,Tommy Paul,Ugo Humbert,28,33,results,KXATPMATCH-26JUN20PAUHUM-PAU,KXATPMATCH-26JUN20PAUHUM-HUM,0.6350,0.3700,0.6318,0.6318,0.0200,2026-06-20T07:55:00Z,candle,1878019.95,1340835.30,0.00,0.5987,backtest,0.1.0,2026-07-07,matched,completed,Tommy Paul,1,2026-06-20,yes
KXATPMATCH-26JUN20CHOYIB,atp,2026,2026-06-20T16:30:00Z,2026-06-20,Eastbourne,Q1,Grass,challenger,3,Jan Choinski,Yibing Wu,106,99,results,KXATPMATCH-26JUN20CHOYIB-CHO,KXATPMATCH-26JUN20CHOYIB-YIB,0.5000,0.5000,0.5000,0.5000,1.0000,2026-06-22T04:00:00Z,candle,992195.07,500033.48,0.00,,,,,matched,completed,Jan Choinski,1,2026-06-22,yes
KXATPMATCH-26JUN20GIRBRO,atp,2026,2026-06-20T16:30:00Z,2026-06-20,Eastbourne,Q1,Grass,challenger,3,Charles Broom,Marcos Giron,274,86,results,KXATPMATCH-26JUN20GIRBRO-BRO,KXATPMATCH-26JUN20GIRBRO-GIR,0.5000,0.5000,0.5000,0.5000,1.0000,2026-06-22T04:00:00Z,candle,1593071.51,760757.43,0.00,,,,,matched,completed,Marcos Giron,0,2026-06-22,no
